"","boxscore_links"
"401","https://www.basketball-reference.com/teams/HOU/2017.html"
"402","https://www.basketball-reference.com/boxscores/201611120HOU.html"
"403","https://www.basketball-reference.com/teams/UTA/2017.html"
"404","https://www.basketball-reference.com/teams/MIA/2017.html"
"405","https://www.basketball-reference.com/boxscores/201611120MIA.html"
"406","https://www.basketball-reference.com/teams/LAC/2017.html"
"407","https://www.basketball-reference.com/teams/MIN/2017.html"
"408","https://www.basketball-reference.com/boxscores/201611120MIN.html"
"409","https://www.basketball-reference.com/teams/MEM/2017.html"
"410","https://www.basketball-reference.com/teams/MIL/2017.html"
"411","https://www.basketball-reference.com/boxscores/201611120MIL.html"
"412","https://www.basketball-reference.com/teams/DET/2017.html"
"413","https://www.basketball-reference.com/teams/DEN/2017.html"
"414","https://www.basketball-reference.com/boxscores/201611120DEN.html"
"415","https://www.basketball-reference.com/teams/BRK/2017.html"
"416","https://www.basketball-reference.com/teams/PHO/2017.html"
"417","https://www.basketball-reference.com/boxscores/201611120PHO.html"
"418","https://www.basketball-reference.com/teams/CHO/2017.html"
"419","https://www.basketball-reference.com/teams/CLE/2017.html"
"420","https://www.basketball-reference.com/boxscores/201611130CLE.html"
"421","https://www.basketball-reference.com/teams/LAL/2017.html"
"422","https://www.basketball-reference.com/teams/MIN/2017.html"
"423","https://www.basketball-reference.com/boxscores/201611130MIN.html"
"424","https://www.basketball-reference.com/teams/ORL/2017.html"
"425","https://www.basketball-reference.com/teams/OKC/2017.html"
"426","https://www.basketball-reference.com/boxscores/201611130OKC.html"
"427","https://www.basketball-reference.com/teams/PHO/2017.html"
"428","https://www.basketball-reference.com/teams/GSW/2017.html"
"429","https://www.basketball-reference.com/boxscores/201611130GSW.html"
"430","https://www.basketball-reference.com/teams/DEN/2017.html"
"431","https://www.basketball-reference.com/teams/POR/2017.html"
"432","https://www.basketball-reference.com/boxscores/201611130POR.html"
"433","https://www.basketball-reference.com/teams/ORL/2017.html"
"434","https://www.basketball-reference.com/teams/IND/2017.html"
"435","https://www.basketball-reference.com/boxscores/201611140IND.html"
"436","https://www.basketball-reference.com/teams/OKC/2017.html"
"437","https://www.basketball-reference.com/teams/DET/2017.html"
"438","https://www.basketball-reference.com/boxscores/201611140DET.html"
"439","https://www.basketball-reference.com/teams/DAL/2017.html"
"440","https://www.basketball-reference.com/teams/NYK/2017.html"
"441","https://www.basketball-reference.com/boxscores/201611140NYK.html"
"442","https://www.basketball-reference.com/teams/PHI/2017.html"
"443","https://www.basketball-reference.com/teams/HOU/2017.html"
"444","https://www.basketball-reference.com/boxscores/201611140HOU.html"
"445","https://www.basketball-reference.com/teams/BOS/2017.html"
"446","https://www.basketball-reference.com/teams/NOP/2017.html"
"447","https://www.basketball-reference.com/boxscores/201611140NOP.html"
"448","https://www.basketball-reference.com/teams/MIA/2017.html"
"449","https://www.basketball-reference.com/teams/SAS/2017.html"
"450","https://www.basketball-reference.com/boxscores/201611140SAS.html"
"451","https://www.basketball-reference.com/teams/MEM/2017.html"
"452","https://www.basketball-reference.com/teams/UTA/2017.html"
"453","https://www.basketball-reference.com/boxscores/201611140UTA.html"
"454","https://www.basketball-reference.com/teams/BRK/2017.html"
"455","https://www.basketball-reference.com/teams/LAC/2017.html"
"456","https://www.basketball-reference.com/boxscores/201611140LAC.html"
"457","https://www.basketball-reference.com/teams/TOR/2017.html"
"458","https://www.basketball-reference.com/teams/CLE/2017.html"
"459","https://www.basketball-reference.com/boxscores/201611150CLE.html"
"460","https://www.basketball-reference.com/teams/ATL/2017.html"
"461","https://www.basketball-reference.com/teams/MIA/2017.html"
"462","https://www.basketball-reference.com/boxscores/201611150MIA.html"
"463","https://www.basketball-reference.com/teams/CHO/2017.html"
"464","https://www.basketball-reference.com/teams/MIN/2017.html"
"465","https://www.basketball-reference.com/boxscores/201611150MIN.html"
"466","https://www.basketball-reference.com/teams/CHI/2017.html"
"467","https://www.basketball-reference.com/teams/POR/2017.html"
