"","date","away_team","points_away","home_team","points_home","attendance","home_win","point_difference","abs_point_dif","season","win_percentage"
"176",2016-11-18,"Detroit Pistons",81,"Cleveland Cavaliers",104,20562,1,23,23,"2016-17",75.5102040816327
"177",2016-11-18,"Golden State Warriors",104,"Boston Celtics",88,18624,0,-16,16,"2016-17",68.6274509803922
"178",2016-11-18,"Portland Trail Blazers",101,"New Orleans Pelicans",113,15552,1,12,12,"2016-17",51.219512195122
"179",2016-11-18,"Brooklyn Nets",105,"Oklahoma City Thunder",124,18203,1,19,19,"2016-17",67.4418604651163
"180",2016-11-18,"Memphis Grizzlies",80,"Dallas Mavericks",64,19715,0,-16,16,"2016-17",51.219512195122
"181",2016-11-18,"Toronto Raptors",113,"Denver Nuggets",111,12476,0,-2,2,"2016-17",53.6585365853659
"182",2016-11-18,"San Antonio Spurs",116,"Los Angeles Lakers",107,18997,0,-9,9,"2016-17",41.4634146341463
"183",2016-11-18,"Los Angeles Clippers",121,"Sacramento Kings",115,17608,0,-6,6,"2016-17",41.4634146341463
"184",2016-11-19,"Utah Jazz",102,"Houston Rockets",111,14760,1,9,9,"2016-17",72.3404255319149
"185",2016-11-19,"Boston Celtics",94,"Detroit Pistons",92,16107,0,-2,2,"2016-17",58.5365853658537
"186",2016-11-19,"Charlotte Hornets",116,"New Orleans Pelicans",121,15739,1,5,5,"2016-17",51.219512195122
"187",2016-11-19,"Dallas Mavericks",87,"Orlando Magic",95,18846,1,8,8,"2016-17",39.0243902439024
"188",2016-11-19,"Miami Heat",114,"Washington Wizards",111,15848,0,-3,3,"2016-17",76.5957446808511
"189",2016-11-19,"Phoenix Suns",105,"Philadelphia 76ers",120,18125,1,15,15,"2016-17",41.4634146341463
"190",2016-11-19,"Minnesota Timberwolves",71,"Memphis Grizzlies",93,17112,1,22,22,"2016-17",59.0909090909091
"191",2016-11-19,"Golden State Warriors",124,"Milwaukee Bucks",121,18717,0,-3,3,"2016-17",54.5454545454545
"192",2016-11-19,"Chicago Bulls",95,"Los Angeles Clippers",102,19060,1,7,7,"2016-17",66.6666666666667
"193",2016-11-20,"Atlanta Hawks",94,"New York Knicks",104,19812,1,10,10,"2016-17",46.3414634146341
"194",2016-11-20,"Portland Trail Blazers",129,"Brooklyn Nets",109,16608,0,-20,20,"2016-17",31.7073170731707
"195",2016-11-20,"Indiana Pacers",115,"Oklahoma City Thunder",111,18203,0,-4,4,"2016-17",67.4418604651163
"196",2016-11-20,"Utah Jazz",91,"Denver Nuggets",105,12565,1,14,14,"2016-17",53.6585365853659
"197",2016-11-20,"Toronto Raptors",99,"Sacramento Kings",102,17608,1,3,3,"2016-17",41.4634146341463
"198",2016-11-20,"Chicago Bulls",118,"Los Angeles Lakers",110,18997,0,-8,8,"2016-17",41.4634146341463
"199",2016-11-21,"Memphis Grizzlies",105,"Charlotte Hornets",90,14181,0,-15,15,"2016-17",53.6585365853659
"200",2016-11-21,"Golden State Warriors",120,"Indiana Pacers",83,17923,0,-37,37,"2016-17",67.4418604651163
"201",2016-11-21,"Miami Heat",94,"Philadelphia 76ers",101,16477,1,7,7,"2016-17",41.4634146341463
"202",2016-11-21,"Phoenix Suns",101,"Washington Wizards",106,12790,1,5,5,"2016-17",76.5957446808511
"203",2016-11-21,"Houston Rockets",99,"Detroit Pistons",96,13632,0,-3,3,"2016-17",58.5365853658537
"204",2016-11-21,"Orlando Magic",89,"Milwaukee Bucks",93,12306,1,4,4,"2016-17",54.5454545454545
"205",2016-11-21,"Boston Celtics",99,"Minnesota Timberwolves",93,13167,0,-6,6,"2016-17",48.780487804878
"206",2016-11-21,"Dallas Mavericks",91,"San Antonio Spurs",96,18418,1,5,5,"2016-17",73.469387755102
"207",2016-11-21,"Toronto Raptors",115,"Los Angeles Clippers",123,19060,1,8,8,"2016-17",66.6666666666667
"208",2016-11-22,"New Orleans Pelicans",112,"Atlanta Hawks",94,19120,0,-18,18,"2016-17",56.8181818181818
"209",2016-11-22,"Portland Trail Blazers",103,"New York Knicks",107,19812,1,4,4,"2016-17",46.3414634146341
"210",2016-11-22,"Chicago Bulls",107,"Denver Nuggets",110,14328,1,3,3,"2016-17",53.6585365853659
"211",2016-11-22,"Oklahoma City Thunder",109,"Los Angeles Lakers",111,18997,1,2,2,"2016-17",41.4634146341463
"212",2016-11-23,"San Antonio Spurs",119,"Charlotte Hornets",114,18515,0,-5,5,"2016-17",53.6585365853659
"213",2016-11-23,"Portland Trail Blazers",125,"Cleveland Cavaliers",137,20562,1,12,12,"2016-17",75.5102040816327
